id;grupo_uso_id;grupo_uso;grupo_uso_corto;Lista de soluciones ;inversion_id;inversion;ahorro_ee_id;ahorro_ee
1;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Evitar el consumo stand-by;1;Nula;1;Nivel 1 (Mínimo): Reducción del consumo menor al 5% respecto al consumo inicial.
2;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Reemplazar secadora convencional por una secadora con bomba de calor;3;Media;4;Nivel 4 (Alto): Reducción del consumo entre el 30% y el 50% respecto al consumo inicial.
3;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Cambio de tv a una más eficiente;2;Baja;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
4;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Cambio de refrigerador a uno más eficiente;3;Media;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
5;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Haz más eficiente tu consumo eléctrico, revisa cuanto tiempo usas estos equipos y reduce su uso en tiempos no necesarios. ;1;Nula;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
6;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Recambia tus equipos eléctricos por equipos más eficientes;2;Baja;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
7;3;Reduce tu consumo en calefacción;Calefacción;Reemplazar el calefactor a leña por calefactor a pellet;3;Media;4;Nivel 4 (Alto): Reducción del consumo entre el 30% y el 50% respecto al consumo inicial.
8;3;Reduce tu consumo en calefacción;Calefacción;Reemplazo de sistema de calefacción por bomba de calor de alta eficiencia;4;Alta;5;Nivel 5 (Muy alto): Reducción del consumo superior al 50% respecto al consumo inicial.
9;3;Reduce tu consumo en calefacción;Calefacción;Sella las infiltraciones de aire en puertas y ventanas;2;Baja;4;Nivel 4 (Alto): Reducción del consumo entre el 30% y el 50% respecto al consumo inicial.
10;3;Reduce tu consumo en calefacción;Calefacción;Aisla térmicamente tu vivienda. Comienza por el techo, luego ventanas, muros y si es posible, el suelo.;4;Alta;5;Nivel 5 (Muy alto): Reducción del consumo superior al 50% respecto al consumo inicial.
11;3;Reduce tu consumo en calefacción;Calefacción;Cambia tus ventanas por ventanas de doble o triple vidrio hermetico. Idealmente con marco de PVC;4;Alta;5;Nivel 5 (Muy alto): Reducción del consumo superior al 50% respecto al consumo inicial.
12;3;Reduce tu consumo en calefacción;Calefacción;Recambia tus equipos de calefacción por equipos más eficientes. Revisa su etiqueta de eficiencia energética. ;3;Media;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
13;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;Disminuye el tiempo en la ducha. No más de 8 minutos bastarán para una ducha eficiente. ;1;Nula;2;Nivel 2 (Bajo): Reducción del consumo entre el 5% y el 15% respecto al consumo inicial.
14;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;Instala aireadores en lavaplatos, lavamanos y ducha;2;Baja;1;Nivel 1 (Mínimo): Reducción del consumo menor al 5% respecto al consumo inicial.
15;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;Realizar el lavado de ropa a carga completa;1;Nula;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
16;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;Realizar el lavado de ropa con agua fría en vez de caliente;1;Nula;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
17;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;Instalar colectores solares térmicos para el Agua Caliente Sanitaria (ACS).;3;Media;5;Nivel 5 (Muy alto): Reducción del consumo superior al 50% respecto al consumo inicial.
18;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;Reemplazar el calefon por una bomba de calor aire-agua;4;Alta;4;Nivel 4 (Alto): Reducción del consumo entre el 30% y el 50% respecto al consumo inicial.
19;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;Recambia tu equipo para calentar agua por uno más eficiente;3;Media;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
20;1;Reduce tu consumo en iluminación;Iluminación;Haz más eficiente el consumo de iluminación solo encendiendo las luces cuando sean estrictamente necesarias;1;Nula;2;Nivel 2 (Bajo): Reducción del consumo entre el 5% y el 15% respecto al consumo inicial.
21;1;Reduce tu consumo en iluminación;Iluminación;Recambia tus luminarias por luminarias más eficientes. Revisa la potencia de tus luces y busca unas que consuman menos. No olvides revisar que mantengan la misma calidad de iluminación;3;Media;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
22;4;Reduce tu consumo en la cocina;Cocina;Cuando tengas que hacer cocciones largas utiliza una olla a presión ;2;Baja;1;Nivel 1 (Mínimo): Reducción del consumo menor al 5% respecto al consumo inicial.
23;4;Reduce tu consumo en la cocina;Cocina;utilizar termo/hervidor eléctrico;2;Baja;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
24;4;Reduce tu consumo en la cocina;Cocina;Recambia tu cocina por una más eficiente;4;Alta;4;Nivel 4 (Alto): Reducción del consumo entre el 30% y el 50% respecto al consumo inicial.
25;4;Reduce tu consumo en la cocina;Cocina;Recambia tu horno por uno más eficiente;4;Alta;4;Nivel 4 (Alto): Reducción del consumo entre el 30% y el 50% respecto al consumo inicial.
26;4;Reduce tu consumo en la cocina;Cocina;Revisa la etiqueta de eficiencia energética de tus electrodomesticos de cocina y busca unos de mejor desempeño.;3;Media;3;Nivel 3 (Medio): Reducción del consumo entre el 15% y el 30% respecto al consumo inicial.
27;6;Reduce tu consumo en ventilación y enfriamiento;Enfriamiento;Protege las ventas del sol;2;Baja;4;Nivel 4 (Alto): Reducción del consumo entre el 30% y el 50% respecto al consumo inicial.
28;6;Reduce tu consumo en ventilación y enfriamiento;Enfriamiento;Aisla térmicamente tu vivienda. Comienza por el techo, luego ventanas, muros y si es posible, el suelo.;4;Alta;5;Nivel 5 (Muy alto): Reducción del consumo superior al 50% respecto al consumo inicial.
29;6;Reduce tu consumo en ventilación y enfriamiento;Enfriamiento;Cambia tus ventanas por ventanas de doble o triple vidrio hermetico. Idealmente con marco de PVC;4;Alta;5;Nivel 5 (Muy alto): Reducción del consumo superior al 50% respecto al consumo inicial.
30;6;Reduce tu consumo en ventilación y enfriamiento;Enfriamiento;Recambia tus equipos de aire acondicionado o ventilación por unos más eficientes. Revisa su etiqueta de eficiencia energética. ;3;Media;4;Nivel 4 (Alto): Reducción del consumo entre el 30% y el 50% respecto al consumo inicial.
